"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2015","117.63","88.75","119.35","85.50","191.03M","13.15%"
"08/16/2015","103.96","123.14","126.75","102.75","90.00M","-15.75%"
"08/09/2015","123.39","126.09","126.50","118.66","62.86M","-0.11%"
"08/02/2015","123.52","114.60","129.29","111.78","108.82M","8.06%"
"07/26/2015","114.31","107.79","115.00","103.88","59.73M","4.55%"
"07/19/2015","109.34","114.70","114.70","108.90","63.69M","12.45%"
"07/05/2015","97.23","93.47","98.50","92.28","84.74M","3.39%"
"06/28/2015","94.04","91.51","95.24","91.12","67.21M","1.02%"
"06/21/2015","93.09","95.04","100.89","93.09","181.44M","-0.83%"
"06/14/2015","93.87","92.86","96.42","91.66","73.78M","-0.58%"
"06/07/2015","94.42","90.71","98.97","89.00","127.20M","4.38%"
"05/31/2015","90.46","88.84","90.54","87.94","45.39M","1.47%"
"05/24/2015","89.15","88.87","90.21","87.79","40.69M","0.35%"
"05/17/2015","88.84","87.54","89.79","87.02","66.90M","1.40%"
"05/10/2015","87.61","82.32","88.35","82.19","92.90M","6.72%"
"05/03/2015","82.09","79.57","82.44","78.90","70.64M","3.15%"
"04/26/2015","79.58","80.29","81.79","78.89","53.09M","-0.24%"
"04/19/2015","79.77","81.79","82.30","78.96","82.51M","-2.30%"
"04/12/2015","81.65","67.24","82.14","67.06","278.42M","25.73%"
"04/05/2015","64.94","58.77","65.00","58.46","78.86M","9.79%"
"03/29/2015","59.15","59.72","60.56","58.70","52.02M","-0.17%"
"03/22/2015","59.25","60.89","63.10","58.57","78.10M","-3.15%"
"03/15/2015","61.18","61.55","61.79","59.30","84.95M","-2.32%"
"03/08/2015","62.63","64.99","65.09","61.98","78.10M","-3.45%"
"03/01/2015","64.87","67.71","68.61","64.84","59.20M","-4.38%"
"02/22/2015","67.84","68.30","69.50","67.14","44.34M","-0.69%"
"02/15/2015","68.31","66.52","68.71","65.94","41.35M","2.58%"
"02/08/2015","66.59","63.20","66.63","62.64","58.99M","4.90%"
"02/01/2015","63.48","62.84","65.47","61.96","65.03M","0.59%"
"01/25/2015","63.11","62.57","65.34","61.96","98.76M","0.99%"
"01/18/2015","62.49","48.57","62.74","47.71","167.56M","29.67%"
"01/11/2015","48.19","47.09","48.25","45.26","82.93M","2.44%"
"01/04/2015","47.04","49.26","49.26","45.66","63.26M","-5.64%"
